代码,名称,现价,涨跌幅
代码,名称,现价,涨跌幅
代码,名称,现价,涨跌幅
300192,科德教育,7.24,20.07
300260,新莱应材,46.54,20.01
688189,南新制药,20.70,20.00
300052,中青宝,21.54,20.00
301051,信濠光电,76.39,20.00
300359,全通教育,6.26,19.92
300010,豆神教育,5.12,19.91
300338,ST开元,3.08,16.23
300533,冰川网络,29.02,14.79
300360,炬华科技,11.16,14.58
688670,金迪克,49.00,13.98
300585,奥联电子,15.43,13.54
688607,康众医疗,21.89,12.03
688010,福光股份,26.11,11.82
688722,同益中,16.48,11.80
301207,华兰疫苗,48.40,11.26
688383,新益昌,116.50,10.96
300364,中文在线,11.40,10.68
300179,四方达,15.89,10.27
002502,鼎龙文化,3.03,10.18
000017,深中华A,4.02,10.14
000070,特发信息,6.44,10.09
600255,鑫科材料,2.62,10.08
000633,合金投资,7.54,10.07
600393,粤泰股份,1.86,10.06
002703,浙江世宝,7.66,10.06
000815,美利云,10.95,10.05
002927,泰永长征,10.74,10.04
605208,永茂泰,17.11,10.03
002624,完美世界,14.70,10.03
603096,新经典,20.19,10.03
002467,二六三,4.61,10.02
000526,学大教育,18.11,10.02
002909,集泰股份,9.66,10.02
002956,西麦食品,15.15,10.02
002160,常铝股份,5.82,10.02
603466,风语筑,18.89,10.02
002607,中公教育,6.70,10.02
603963,大理药业,16.26,10.01
001212,中旗新材,51.76,10.01
002824,和胜股份,52.09,10.01
002836,新宏泽,10.99,10.01
603997,继峰股份,11.76,10.01
603983,丸美股份,25.50,10.01
003026,中晶科技,55.07,10.01
600171,上海贝岭,21.44,10.01
002933,新兴装备,26.95,10.00
600776,东方通信,11.55,10.00
002864,盘龙药业,39.82,10.00
600556,天下秀,8.58,10.00
000627,天茂集团,3.63,10.00
600732,爱旭股份,32.01,10.00
600640,新国脉,10.67,10.00
002187,广百股份,9.57,10.00
600351,亚宝药业,6.71,10.00
002513,蓝丰生化,5.94,10.00
002995,天地在线,16.50,10.00
002056,横店东磁,26.07,10.00
603078,江化微,26.52,10.00
605007,五洲特纸,17.50,9.99
